"subject";"category";"importance";"status";"rgdt";"updt"
"0000";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0010";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0011";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0012";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0013";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0014";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0015";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0100";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0101";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0102";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0103";"00";5;"1";"2022-09-23 16:14:33";"2022-09-23 16:14:33"
"0199";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0200";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0201";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0202";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0220";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0221";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0250";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0250";"06";5;"1";"2022-07-18 00:54:49";"2022-07-18 00:54:49"
"0251";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0251";"06";5;"1";"2022-07-18 00:54:39";"2022-07-18 00:54:39"
"0252";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0252";"06";5;"1";"2022-07-18 00:54:51";"2022-07-18 00:54:51"
"0300";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0301";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0302";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0400";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0401";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0420";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0500";"01";5;"1";"2022-07-18 00:45:17";"2022-07-18 00:45:17"
"0510";"01";5;"1";"2022-07-18 00:45:45";"2022-07-18 00:45:45"
"0511";"01";5;"1";"2022-07-18 00:46:42";"2022-07-18 00:46:42"
"0512";"01";5;"1";"2022-07-18 00:47:32";"2022-07-18 00:47:32"
"0513";"01";5;"1";"2022-07-18 00:48:37";"2022-07-18 00:48:37"
"0700";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0700";"04";5;"1";"2022-07-18 00:15:58";"2022-07-18 00:15:58"
"0701";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0701";"04";5;"1";"2022-07-18 00:16:01";"2022-07-18 00:16:01"
"0702";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0702";"04";5;"1";"2022-07-18 00:16:03";"2022-07-18 00:16:03"
"0710";"04";5;"1";"2022-10-01 19:57:46";"2022-10-01 19:57:46"
"0711";"04";5;"1";"2022-10-01 19:57:46";"2022-10-01 19:57:46"
"0900";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"0901";"00";5;"1";"2022-06-25 21:26:17";"2022-06-25 21:26:17"
"4000";"06";5;"1";"2022-06-25 21:27:03";"2022-06-25 21:27:03"
"4001";"06";5;"1";"2022-06-25 21:27:03";"2022-06-25 21:27:03"
"4002";"06";5;"1";"2022-06-25 21:27:03";"2022-06-25 21:27:03"
"4003";"01";5;"1";"2022-07-18 00:13:28";"2022-07-18 00:13:28"
"4003";"06";5;"1";"2022-06-25 21:27:03";"2022-06-25 21:27:03"
"4010";"05";5;"1";"2022-06-25 21:27:24";"2022-06-25 21:27:24"
"4011";"05";5;"1";"2022-07-18 00:12:36";"2022-07-18 00:12:36"
"4012";"05";5;"1";"2022-09-23 20:31:35";"2022-09-23 20:31:35"
"4013";"05";5;"1";"2022-09-26 10:56:29";"2022-09-26 10:56:29"
"4014";"05";5;"1";"2022-09-26 10:56:29";"2022-09-26 10:56:29"
"4500";"05";5;"1";"2022-06-25 21:27:24";"2022-06-25 21:27:24"
"4501";"05";5;"1";"2022-06-25 21:27:24";"2022-06-25 21:27:24"
"4502";"05";5;"1";"2022-06-25 21:27:24";"2022-06-25 21:27:24"
"5000";"05";5;"1";"2022-06-25 21:27:24";"2022-06-25 21:27:24"
"5001";"05";5;"1";"2022-06-25 21:27:24";"2022-06-25 21:27:24"
"5011";"07";5;"1";"2022-09-05 18:07:12";"2022-09-05 18:07:12"
"6100";"07";5;"1";"2022-08-13 18:08:05";"2022-08-13 18:08:05"
"6105";"07";5;"1";"2022-08-13 18:08:10";"2022-08-13 18:08:10"
"6107";"07";5;"1";"2022-08-13 18:08:14";"2022-08-13 18:08:14"
"9900";"99";1;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9901";"99";2;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9902";"99";3;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9903";"99";4;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9904";"99";5;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9905";"99";6;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9906";"99";7;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9907";"02";5;"1";"2022-07-18 00:14:53";"2022-07-18 00:14:53"
"9907";"99";8;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9908";"01";5;"1";"2022-07-18 00:15:19";"2022-07-18 00:15:19"
"9908";"99";9;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9909";"99";10;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9910";"99";11;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9911";"99";12;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
"9912";"03";5;"1";"2022-07-18 00:14:12";"2022-07-18 00:14:12"
"9912";"99";13;"1";"2022-06-25 21:08:04";"2022-06-25 21:08:04"
